Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh
0,Ai2Thor,,Hi Piek. Tell me what to do.,, j !  tell  me  what  you  do ,0.3647939035935061,0.6680597599063601
1,Ai2Thor,Hi Piek. Tell me what to do.,"This is what I can do:('I can do the following:', ""['find', 'describe', 'move', 'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"")", Hi Piek. Tell me what to do., this  is  what  you  can  and  can  do  the  following  '  '  '  '  '  '  '  '  '  '  or  and ,0.25860209356654773,0.5662592229518023
2,Piek,"This is what I can do:('I can do the following:', ""['find', 'describe', 'move', 'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"")",find spoon," Hi Piek. Tell me what to do. This is what I can do:('I can do the following:', ""['find', 'describe', 'move', 'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"")",". , ",0.0,0.10278894007205963
3,Ai2Thor,find spoon,"I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485}"," Hi Piek. Tell me what to do. This is what I can do:('I can do the following:', ""['find', 'describe', 'move', 'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"") find spoon",".  have  several  piece  of  find  1  in  the  python finder d  : ,  - ,  and  _ ",0.1289321349726783,0.3692694935533736
4,ACTION,"I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485}",Look,"what I can do:('I can do the following:', ""['find', 'describe', 'move', 'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"") find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485}",", ",0.0,0.08714195340871811
5,Piek,Look,move forward,"I can do:('I can do the following:', ""['find', 'describe', 'move', 'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"") find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look",ed ? ,0.0,0.1256970465183258
6,ACTION,move forward,MoveAhead,"can do the following:', ""['find', 'describe', 'move', 'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"") find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look move forward",. ,0.0,0.17376717925071716
7,Piek,MoveAhead,mover forward," following:', ""['find', 'describe', 'move', 'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"") find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look move forward MoveAhead", move ! ,0.0,0.4377591796219349
8,Ai2Thor,mover forward,Sorry I do not get that:mover,"""['find', 'describe', 'move', 'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"") find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look move forward MoveAhead mover forward",.  i  did  not  like  it ,0.2776875651131074,0.46824410930275917
9,Piek,Sorry I do not get that:mover,turn elft,"'go', 'turn', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"") find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look move forward MoveAhead mover forward Sorry I do not get that:mover", is  forward ,0.0,0.11718397960066795
10,Piek,turn elft,turn left,"n', 'forward', 'back', 'left', 'right', 'open', 'close', 'look']"") find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look move forward MoveAhead mover forward Sorry I do not get that:mover turn elft", and  sideways ,0.019567539915442467,0.060953520238399506
11,ACTION,turn left,RotateLeft,"rd', 'back', 'left', 'right', 'open', 'close', 'look']"") find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look move forward MoveAhead mover forward Sorry I do not get that:mover turn elft turn left",. ,0.0,0.08589281886816025
12,Piek,RotateLeft,find spoon,", 'left', 'right', 'open', 'close', 'look']"") find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look move forward MoveAhead mover forward Sorry I do not get that:mover turn elft turn left RotateLeft", type  spoon ,0.4922657310962677,0.663311317563057
13,Ai2Thor,find spoon,"I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485}","right', 'open', 'close', 'look']"") find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look move forward MoveAhead mover forward Sorry I do not get that:mover turn elft turn left RotateLeft find spoon"," i  found  1  instances  of  type  spoon  in  my  view  2048  at  { ,  ' ,  '  - ",0.6109837492307028,0.9291598581605487
14,ACTION,"I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485}",Look,"0.9198877215385437, 'z': -1.2094093561172485} Look move forward MoveAhead mover forward Sorry I do not get that:mover turn elft turn left RotateLeft find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485}", ) ,0.0,0.04583122581243515
15,Piek,Look,find chair,"8877215385437, 'z': -1.2094093561172485} Look move forward MoveAhead mover forward Sorry I do not get that:mover turn elft turn left RotateLeft find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look", at  spoon ,0.0,0.5480227544903755
16,Ai2Thor,find chair,"I found 2 instances of type chair in my view Chair_f2657f6e at {'x': -1.8540294170379639, 'y': 0.0020338892936706543, 'z': -0.9562326073646545} Chair_6dc5df19 at {'x': -1.832050085067749, 'y': 0.0020392537117004395, 'z': -0.034224189817905426}","37, 'z': -1.2094093561172485} Look move forward MoveAhead mover forward Sorry I do not get that:mover turn elft turn left RotateLeft find spoon I found 1 instances of type spoon in my view Spoon_4a610c23 at {'x': -1.2419390678405762, 'y': 0.9198877215385437, 'z': -1.2094093561172485} Look find chair"," i  found  1  instances  of  type  spoon  in  my  view hole  at  { ,  - ,  and  1  )  at  { ,  and ,  and  _ ",0.38495437494342555,0.7347389152989938
