,id,context,response,MCtx,engaging,specific,relevant,correct,semantically appropriate
0,5,Mike also does not like exercising,Let me ask you something. Has mike ever own a agent?,0.6328516602516174,5,3,1,2,2
1,7,Mike also does not like exercising,Exciting news! I did not know anybody who like exercising,0.9975550174713135,3,4,5,4,5
2,6,Mike also does not like exercising,I do not believe you.,0.606637716293335,3,2,4,5,5
3,3,Mike also does not like exercising,If you don't mind me asking. Has mike ever own a person?,0.9981136918067932,5,3,1,2,2
4,4,Mike also does not like exercising,I would like to know. Has mike ever own a agent?,0.6350852847099304,5,3,1,2,2
5,2,Mike also does not like exercising,Interesting! I had never heard about mike before!,0.990982711315155,3,3,4,3,5
6,8,Mike also does not like exercising,I am glad to have learned something new. I did not know anybody who like exercising,0.9972609877586365,3,4,5,4,5
7,0,Mike also does not like exercising,I did not know that! I had never heard about exercising before!,0.9955703020095825,2,3,4,4,5
8,1,Mike also does not like exercising,I am glad to have learned something new. I did not know anybody who like exercising,0.9972609877586365,3,4,5,4,5
9,5,Do you have a car?,I know leolani usually do a car but I do not know this case,0.9926398396492004,1,3,4,1,2
10,7,Do you have a car?,I know leolani usually do a car but I do not know this case,0.9926398396492004,1,3,4,1,2
11,6,Do you have a car?,I know leolani usually do a car but I do not know this case,0.9926398396492004,1,3,4,1,2
12,3,Do you have a car?,I know agent usually do article:indefinite but I do not know this case,0.0023281285539269447,1,3,4,1,2
13,4,Do you have a car?,I know agent usually do article:indefinite but I do not know this case,0.0023281285539269447,1,3,4,1,2
14,2,Do you have a car?,I know agent usually do article:indefinite but I do not know this case,0.0023281285539269447,1,3,4,1,2
15,8,Do you have a car?,I know agent usually do article:indefinite but I do not know this case,0.0023281285539269447,1,3,4,1,2
16,0,Do you have a car?,I know agent usually do article:indefinite but I do not know this case,0.0023281285539269447,1,3,4,1,2
17,1,Do you have a car?,I know agent usually do article:indefinite but I do not know this case,0.0023281285539269447,1,3,4,1,2
18,5,laptops are objects,I am glad to have learned something new. I had never heard about laptops before!,0.9906388521194458,2,5,4,5,5
19,7,laptops are objects,I am glad to have learned something new. I did not know anybody who be objects,0.9971305727958679,3,3,4,3,2
20,6,laptops are objects,I am curious. Has laptops ever own a person?,0.9983508586883545,5,5,3,2,2
21,3,laptops are objects,If you don't mind me asking. Has laptops ever own a agent?,0.9905402660369873,5,4,3,2,2
22,4,laptops are objects,I would like to know. Has laptops ever own a person?,0.996035635471344,5,5,3,2,2
23,2,laptops are objects,I am glad to have learned something new. I had never heard about laptops before!,0.9906388521194458,2,3,4,4,5
24,8,laptops are objects,Interesting! I had never heard about laptops before!,0.9604775309562683,2,3,4,4,5
25,0,laptops are objects,Let me ask you something. Has laptops ever own a person?,0.9955019354820251,5,4,3,2,2
26,1,laptops are objects,I just learned something I did not know anybody who be objects,0.9961623549461365,3,3,4,2,2
27,5,school had a playground,Exciting news! I had never heard about school before!,0.6212332248687744,2,4,4,3,5
28,7,school had a playground,I did not know that! I had never heard about a playground before!,0.9977811574935913,3,5,5,3,5
29,6,school had a playground,Exciting news! I did not know anybody who have a playground,0.9976271390914917,2,5,4,2,2
30,3,school had a playground,I just learned something I had never heard about school before!,0.6292840242385864,3,4,5,3,5
31,4,school had a playground,I am glad to have learned something new. I did not know anything that school have,0.9933394193649292,2,4,5,4,5
32,2,school had a playground,Interesting! I did not know anybody who have a playground,0.9975165724754333,2,5,4,2,2
33,8,school had a playground,Exciting news! I had never heard about a playground before!,0.9975228309631348,3,5,5,3,5
34,0,school had a playground,Exciting news! I did not know anybody who have a playground,0.9976271390914917,2,5,4,2,2
35,1,school had a playground,Exciting news! I did not know anybody who have a playground,0.9976271390914917,2,5,4,2,2
