source,utt,tok_utt,season,episode,sr_number
Chandler,also I was the point person on my company's transition from the KL-5 to GR-6 system.,"[also, I, was, the, point, person, on, my, company, 's, transition, from, the, KL-5, to, GR-6, system, .]",8,21,1
The Interviewer,You must've had your hands full.,"[You, must, 've, had, your, hands, full, .]",8,21,2
Chandler,That I did. That I did.,"[That, I, did, ., That, I, did, .]",8,21,3
The Interviewer,So let's talk a little bit about your duties.,"[So, let, 's, talk, a, little, bit, about, your, duties, .]",8,21,4
Chandler,My duties?  All right.,"[My, duties, ?,  , All, right, .]",8,21,5
The Interviewer,"Now you'll be heading a whole division, so you'll have a lot of duties.","[Now, you, 'll, be, heading, a, whole, division, ,, so, you, 'll, have, a, lot, of, duties, .]",8,21,6
Chandler,I see.,"[I, see, .]",8,21,7
The Interviewer,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,"[But, there, 'll, be, perhaps, 30, people, under, you, so, you, can, dump, a, certain, amount, on, them, .]",8,21,8
Chandler,Good to know.,"[Good, to, know, .]",8,21,9
The Interviewer,We can go into detail,"[We, can, go, into, detail]",8,21,10
Chandler,No don't I beg of you!,"[No, do, n't, I, beg, of, you, !]",8,21,11
The Interviewer,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.","[All, right, then, ,, we, 'll, have, a, definite, answer, for, you, on, Monday, ,, but, I, think, I, can, say, with, some, confidence, ,, you, 'll, fit, in, well, here, .]",8,21,12
Chandler,Really?!,"[Really, ?, !]",8,21,13
The Interviewer,Absolutely.  You can relax,"[Absolutely, .,  , You, can, relax]",8,21,14
Joey,But then who? The waitress I went out with last month?,"[But, then, who, ?, The, waitress, I, went, out, with, last, month, ?]",9,23,15
Rachel,You know? Forget it!,"[You, know, ?, Forget, it, !]",9,23,16
Joey,"No-no-no-no, no! Who, who were you talking about?","[No, -, no, -, no, -, no, ,, no, !, Who, ,, who, were, you, talking, about, ?]",9,23,17
Rachel,"No, I-I-I-I don't, I actually don't know","[No, ,, I, -, I, -, I, -, I, do, n't, ,, I, actually, do, n't, know]",9,23,18
Joey,Ok!,"[Ok, !]",9,23,19
Joey,"All right, well...","[All, right, ,, well, ...]",9,23,20
Rachel,"Yeah, sure!","[Yeah, ,, sure, !]",9,23,23
Chandler,"Hey, Mon.","[Hey, ,, Mon, .]",3,6,24
Monica,Hey-hey-hey. You wanna hear something that sucks.,"[Hey, -, hey, -, hey, ., You, wanna, hear, something, that, sucks, .]",3,6,25
Chandler,Do I ever.,"[Do, I, ever, .]",3,6,26
Monica,Chris says they're closing down the bar.,"[Chris, says, they, 're, closing, down, the, bar, .]",3,6,27
Chandler,No way!,"[No, way, !]",3,6,28
Monica,"Yeah, apparently they're turning it into some kinda coffee place.","[Yeah, ,, apparently, they, 're, turning, it, into, some, kinda, coffee, place, .]",3,6,29
Chandler,Just coffee! Where are we gonna hang out now?,"[Just, coffee, !, Where, are, we, gon, na, hang, out, now, ?]",3,6,30
Monica,Got me.,"[Got, me, .]",3,6,31
Chandler,Can I get a beer.,"[Can, I, get, a, beer, .]",3,6,32
Monica,"Hey, did you pick a roommate?","[Hey, ,, did, you, pick, a, roommate, ?]",3,6,33
Chandler,You betcha!,"[You, betcha, !]",3,6,34
Monica,Is it the Italian guy?,"[Is, it, the, Italian, guy, ?]",3,6,35
Chandler,"Um-mm, yeah right!","[Um, -, mm, ,, yeah, right, !]",3,6,36
Phoebe,"Oh my God, oh my God! Poor Monica!","[Oh, my, God, ,, oh, my, God, !, Poor, Monica, !]",3,12,37
Chandler,"What, what, what?!","[What, ,, what, ,, what, ?, !]",3,12,38
Phoebe,What?!,"[What, ?, !]",3,12,39
Phoebe,He was with her when he wrote this poem.,"[He, was, with, her, when, he, wrote, this, poem, .]",3,12,40
Phoebe,"Look,  'My vessel so empty with nothing inside.","[Look, ,,  , ', My, vessel, so, empty, with, nothing, inside, .]",3,12,41
Phoebe,"Now that I've touched you, you seem emptier still.'","[Now, that, I, 've, touched, you, ,, you, seem, emptier, still, ., ']",3,12,42
Phoebe,"He thinks Monica is empty, she is the empty vase!","[He, thinks, Monica, is, empty, ,, she, is, the, empty, vase, !]",3,12,43
Phoebe,"Oh, totally. Oh, God, oh, she seemed so happy too.","[Oh, ,, totally, ., Oh, ,, God, ,, oh, ,, she, seemed, so, happy, too, .]",3,12,45
Joey,Done.,"[Done, .]",3,12,46
Rachel,Hey!,"[Hey, !]",3,11,47
Ross,Hi!,"[Hi, !]",3,11,48
Rachel,What are you doing here?,"[What, are, you, doing, here, ?]",3,11,49
Ross,"Ah y'know, this building is on my paper route so I...","[Ah, y'know, ,, this, building, is, on, my, paper, route, so, I, ...]",3,11,50
Rachel,Oh.,"[Oh, .]",3,11,51
Ross,Hi.,"[Hi, .]",3,11,52
Rachel,Hi.,"[Hi, .]",3,11,53
Ross,How'd did it go?,"[How, 'd, did, it, go, ?]",3,11,54
Rachel,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.","[Oh, well, ,, the, woman, I, interviewed, with, was, pretty, tough, ,, but, y'know, thank, God, Mark, coached, me, ,, because, once, I, started, talking, about, the, fall, line, ,, she, got, all, happy, and, would, n't, shut, up, .]",3,11,55
Ross,I'm so proud of you.,"[I, 'm, so, proud, of, you, .]",3,11,56
Rachel,Me too!,"[Me, too, !]",3,11,57
Ross,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...","[Listen, ,, I, 'm, ah, ,, I, 'm, sorry, I, 've, been, so, crazy, and, jealous, and, ,, it, 's, just, that, I, like, you, a, lot, ,, so, ...]",3,11,58
Rachel,I know.,"[I, know, .]",3,11,59
Ross,Yeah.,"[Yeah, .]",3,11,60
Rachel,Yeah.,"[Yeah, .]",3,11,61
Phoebe,Ameri-can.,"[Ameri, -, can, .]",3,15,62
Joey,Ameri-ccan.,"[Ameri, -, ccan, .]",3,15,63
Phoebe,Ameri-can. Y'know it's a,"[Ameri, -, can, ., Y'know, it, 's, a]",3,15,64
Sergei,Everybody!!,"[Everybody, !, !]",3,15,65
